Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=002876ef-de8e-419f-8bc2-5324ce75c189&n=1,1,0,53192.212000001746,53192.212000001746,53192.212000001746,53192.212000001746,232.0,0.017440164508790542,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/find-carparks?uuid=558b5515-c6ec-4c9a-9f40-3cb3ee8b028e&n=5,1,0,57330.58719999826,57330.58719999826,57330.58719999826,57330.58719999826,600.0,0.017440164508790542,0.0,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/api/find-carparks?uuid=63cda607-c287-4a0d-ad18-25909df7476a&n=3,1,0,54614.106599998195,54614.106599998195,54614.106599998195,54614.106599998195,416.0,0.017440164508790542,0.0,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
GET,/api/find-carparks?uuid=c2ccc56b-ad5d-4935-91dc-2532a72ab4ef&n=3,1,0,52700.8710999944,52700.8710999944,52700.8710999944,52700.8710999944,417.0,0.017440164508790542,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
,Aggregated,4,0,55000,54459.44422499815,52700.8710999944,57330.58719999826,416.25,0.06976065803516217,0.0,55000,55000,57000,57000,57000,57000,57000,57000,57000,57000,57000
