Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=014126fe-2817-4db6-8048-37f317ea9517&n=2,1,0,5023.635999998078,5023.635999998078,5023.635999998078,5023.635999998078,323.0,0.017372932968083052,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/find-carparks?uuid=01907ee2-5c58-47db-99d8-60124594c886&n=3,1,0,13183.662000003096,13183.662000003096,13183.662000003096,13183.662000003096,416.0,0.017372932968083052,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=0997052c-bd48-4579-80e0-ad38d1bee100&n=4,1,0,12766.864900004293,12766.864900004293,12766.864900004293,12766.864900004293,507.0,0.017372932968083052,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=116d3b1f-2e14-4624-9d0f-9877abaa6d0c&n=3,1,0,2131.50570000289,2131.50570000289,2131.50570000289,2131.50570000289,415.0,0.017372932968083052,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/find-carparks?uuid=16f9b51d-f51c-46c7-a31c-64fef9325755&n=2,1,0,13200.87429999694,13200.87429999694,13200.87429999694,13200.87429999694,323.0,0.017372932968083052,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=18587b54-05ed-4273-ba99-12ceaf16355a&n=2,1,0,10399.554399999033,10399.554399999033,10399.554399999033,10399.554399999033,324.0,0.017372932968083052,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/find-carparks?uuid=1c39f198-2369-4c9f-8037-3a18803ea4a7&n=3,1,0,13407.11829999782,13407.11829999782,13407.11829999782,13407.11829999782,416.0,0.017372932968083052,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=20559e48-910c-44f0-bf7b-e5a34377d310&n=1,1,0,15257.771599994157,15257.771599994157,15257.771599994157,15257.771599994157,232.0,0.017372932968083052,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/find-carparks?uuid=226a0389-f97b-4d45-ac74-4b95f269b93c&n=1,1,0,14013.38240000041,14013.38240000041,14013.38240000041,14013.38240000041,232.0,0.017372932968083052,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/find-carparks?uuid=227d5861-54b9-4fb7-a14a-b71df8c6a597&n=4,1,0,4468.678400000499,4468.678400000499,4468.678400000499,4468.678400000499,505.0,0.017372932968083052,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
GET,/api/find-carparks?uuid=24d67c53-d9b7-4a05-8593-474503c3d6d1&n=2,1,0,13794.303700000455,13794.303700000455,13794.303700000455,13794.303700000455,324.0,0.017372932968083052,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/find-carparks?uuid=2741819f-0537-4bbf-8376-69da910a99bb&n=5,1,0,15245.080200002121,15245.080200002121,15245.080200002121,15245.080200002121,599.0,0.017372932968083052,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
