Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=09491ea6-27f2-49c9-bf83-c02d37aeab76&n=1,1,0,27829.60820000153,27829.60820000153,27829.60820000153,27829.60820000153,233.0,0.017185885284351762,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/find-carparks?uuid=0bc4eecf-0b8b-4b42-a824-5ca0d421693b&n=5,1,0,24680.212200000824,24680.212200000824,24680.212200000824,24680.212200000824,599.0,0.017185885284351762,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/find-carparks?uuid=0c9319cf-695a-4815-bc49-8a7bc4b0fa59&n=1,1,0,37594.0735999975,37594.0735999975,37594.0735999975,37594.0735999975,232.0,0.017185885284351762,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/find-carparks?uuid=15984f5c-f296-441a-94bf-428c9f8c7e98&n=1,1,0,53126.941200003785,53126.941200003785,53126.941200003785,53126.941200003785,233.0,0.017185885284351762,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/find-carparks?uuid=19a5fdbe-aa04-4626-9b26-ff3028c52577&n=3,1,0,37072.34890000109,37072.34890000109,37072.34890000109,37072.34890000109,415.0,0.017185885284351762,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/find-carparks?uuid=1ec9549a-f818-4779-9370-d7e9a1cdc0ba&n=3,1,0,14509.889100001601,14509.889100001601,14509.889100001601,14509.889100001601,417.0,0.017185885284351762,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/find-carparks?uuid=250e1efa-85ea-4bde-b154-df01c4a62239&n=3,1,0,51577.9618000015,51577.9618000015,51577.9618000015,51577.9618000015,415.0,0.017185885284351762,0.0,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
GET,/api/find-carparks?uuid=319cbc7b-5396-4762-99ea-229ae94a2d29&n=4,1,0,42221.2967000014,42221.2967000014,42221.2967000014,42221.2967000014,506.0,0.017185885284351762,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/find-carparks?uuid=31cd4cf8-0cdc-42d8-931b-881a18bd7393&n=3,1,0,19106.621700004325,19106.621700004325,19106.621700004325,19106.621700004325,417.0,0.017185885284351762,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/api/find-carparks?uuid=34365f0c-6613-4290-91fa-8509acab4c15&n=3,1,0,50079.39310000074,50079.39310000074,50079.39310000074,50079.39310000074,416.0,0.017185885284351762,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/api/find-carparks?uuid=36a558e3-b669-415c-9f43-f1acf5581f90&n=3,1,0,43734.38370000076,43734.38370000076,43734.38370000076,43734.38370000076,416.0,0.017185885284351762,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/find-carparks?uuid=5045e2dd-993f-40f2-86fe-3c4a4e4e16cf&n=5,1,0,48552.4368999977,48552.4368999977,48552.4368999977,48552.4368999977,599.0,0.017185885284351762,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/api/find-carparks?uuid=6791a0b7-72ff-4c36-b7e7-f86d4636ce39&n=5,1,0,28272.00370000355,28272.00370000355,28272.00370000355,28272.00370000355,596.0,0.017185885284351762,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/find-carparks?uuid=695c19b3-1811-42ad-9fbf-1b353188b366&n=1,1,0,38108.472100000654,38108.472100000654,38108.472100000654,38108.472100000654,232.0,0.017185885284351762,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/find-carparks?uuid=6cabd537-96c3-48d6-b0ba-0f1dca399a3b&n=2,1,0,17609.081000002334,17609.081000002334,17609.081000002334,17609.081000002334,325.0,0.017185885284351762,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/api/find-carparks?uuid=7f703bb0-3817-493b-8322-3695a75e8230&n=3,1,0,31600.648999999976,31600.648999999976,31600.648999999976,31600.648999999976,417.0,0.017185885284351762,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/find-carparks?uuid=80b53cef-7de7-437e-8437-2c1e18aacf16&n=2,1,0,52526.039699994726,52526.039699994726,52526.039699994726,52526.039699994726,323.0,0.017185885284351762,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/find-carparks?uuid=8e87e191-cb97-43dd-81a0-32c8c5e0c5c7&n=4,1,0,40244.04849999701,40244.04849999701,40244.04849999701,40244.04849999701,506.0,0.017185885284351762,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=b291b65c-91b8-4ccc-968c-4f2aba11d3fe&n=1,1,0,21125.36390000605,21125.36390000605,21125.36390000605,21125.36390000605,233.0,0.017185885284351762,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/find-carparks?uuid=b709d120-d523-4d54-b16a-685bb31e0a78&n=2,1,0,22072.31899999897,22072.31899999897,22072.31899999897,22072.31899999897,325.0,0.017185885284351762,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/find-carparks?uuid=b7d0b61d-1ea8-4ca9-a0a7-a09290df3da1&n=3,1,0,33080.27779999975,33080.27779999975,33080.27779999975,33080.27779999975,416.0,0.017185885284351762,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/find-carparks?uuid=b90e1c53-84cd-4135-953e-1b768647e62f&n=4,1,0,46759.40940000146,46759.40940000146,46759.40940000146,46759.40940000146,507.0,0.017185885284351762,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
GET,/api/find-carparks?uuid=ba8d1009-21e8-4636-ab7e-fb7ed481b098&n=2,1,0,25591.923400002997,25591.923400002997,25591.923400002997,25591.923400002997,324.0,0.017185885284351762,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/find-carparks?uuid=bcc8d160-c3d4-4c27-9d62-dc374752198c&n=4,1,0,16616.799600000377,16616.799600000377,16616.799600000377,16616.799600000377,506.0,0.017185885284351762,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/api/find-carparks?uuid=c6f47a39-1dc2-49b8-b0aa-0c241fb4f38c&n=2,1,0,35450.39079999697,35450.39079999697,35450.39079999697,35450.39079999697,325.0,0.017185885284351762,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/api/find-carparks?uuid=c7df2e1c-f216-4d11-8c42-25e096d7f08e&n=5,1,0,21631.15619999735,21631.15619999735,21631.15619999735,21631.15619999735,600.0,0.017185885284351762,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/find-carparks?uuid=d0b4bae3-f93b-4895-9131-6495b1ed803b&n=4,1,0,29980.866300000343,29980.866300000343,29980.866300000343,29980.866300000343,509.0,0.017185885284351762,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/find-carparks?uuid=d17bd952-9402-4439-a496-37920aa20120&n=5,1,0,35581.183000002056,35581.183000002056,35581.183000002056,35581.183000002056,599.0,0.017185885284351762,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/find-carparks?uuid=d1dd0056-df62-48f7-8be4-f54cebeb8e75&n=2,1,0,40190.61099999817,40190.61099999817,40190.61099999817,40190.61099999817,323.0,0.017185885284351762,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=fa5cd71f-be4d-4094-bbe3-97f8700df56f&n=2,1,0,44726.55459999805,44726.55459999805,44726.55459999805,44726.55459999805,324.0,0.017185885284351762,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
,Aggregated,30,0,36000,34375.07720333379,14509.889100001601,53126.941200003785,409.6,0.5155765585305528,0.0,36000,40000,44000,47000,52000,53000,53000,53000,53000,53000,53000
