Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=5e47b485-c747-4fec-a3de-b83ded038f4c&n=2,1,0,30944.38590000209,30944.38590000209,30944.38590000209,30944.38590000209,325.0,0.017172365384564917,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/find-carparks?uuid=5f6e6eed-78aa-4236-b74a-077876f4d283&n=1,1,0,15685.605500002566,15685.605500002566,15685.605500002566,15685.605500002566,233.0,0.017172365384564917,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/find-carparks?uuid=64d66be8-ec9f-4d62-a747-db396527e230&n=3,1,0,31507.76870000118,31507.76870000118,31507.76870000118,31507.76870000118,416.0,0.017172365384564917,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/api/find-carparks?uuid=699260f9-3a7e-4c06-8f82-bb3bc31fbe62&n=5,1,0,39658.86789999786,39658.86789999786,39658.86789999786,39658.86789999786,600.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=69f58a10-c3c5-4640-8772-8f63f2dc6644&n=2,1,0,42498.691799999506,42498.691799999506,42498.691799999506,42498.691799999506,324.0,0.017172365384564917,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/find-carparks?uuid=6c5a3146-c1cf-485d-adba-9ea9223b5bf6&n=5,1,0,43780.750400001125,43780.750400001125,43780.750400001125,43780.750400001125,596.0,0.017172365384564917,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/find-carparks?uuid=6f0fa1a0-54dd-4bdd-87a4-1b7376cad7fb&n=5,1,0,20367.48699999589,20367.48699999589,20367.48699999589,20367.48699999589,598.0,0.017172365384564917,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/find-carparks?uuid=7681d3d0-d492-41fd-8f1b-4d2244af65d6&n=4,1,0,33544.25739999715,33544.25739999715,33544.25739999715,33544.25739999715,507.0,0.017172365384564917,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/find-carparks?uuid=7fa8b9c1-01ea-4029-ba10-c80075a631bf&n=2,1,0,38124.99919999391,38124.99919999391,38124.99919999391,38124.99919999391,324.0,0.017172365384564917,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/find-carparks?uuid=81432494-a5f1-4592-9e4d-4a883ec7d0f7&n=1,1,0,38367.85220000456,38367.85220000456,38367.85220000456,38367.85220000456,233.0,0.017172365384564917,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/find-carparks?uuid=8b40527c-4faa-4c9f-9eaf-e792f33fa77c&n=1,1,0,12907.308599998942,12907.308599998942,12907.308599998942,12907.308599998942,232.0,0.017172365384564917,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=8d76c9fb-99d6-410d-8b83-fa762689ea99&n=1,1,0,39941.68920000084,39941.68920000084,39941.68920000084,39941.68920000084,232.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=9e61bd48-1e51-4c14-9847-5f73f9050f18&n=1,1,0,44026.507700000366,44026.507700000366,44026.507700000366,44026.507700000366,233.0,0.017172365384564917,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/api/find-carparks?uuid=a28ffbbe-f2b4-4f02-812f-bd466294bc7c&n=5,1,0,24242.642199998954,24242.642199998954,24242.642199998954,24242.642199998954,597.0,0.017172365384564917,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/find-carparks?uuid=a56d2282-a722-45f1-a876-a4b80924c021&n=3,1,0,38609.68420000427,38609.68420000427,38609.68420000427,38609.68420000427,415.0,0.017172365384564917,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/api/find-carparks?uuid=a7e9e673-0a83-4612-80c2-98aa0d5b6df9&n=4,1,0,45087.99609999551,45087.99609999551,45087.99609999551,45087.99609999551,508.0,0.017172365384564917,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/api/find-carparks?uuid=bc08e77b-4f2e-4484-8c0c-4b585bee1519&n=3,1,0,22979.58490000019,22979.58490000019,22979.58490000019,22979.58490000019,415.0,0.017172365384564917,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
