Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=119ed9fd-d011-4c88-8bdd-a9e296df3aac&n=4,1,0,55690.0891999976,55690.0891999976,55690.0891999976,55690.0891999976,506.0,0.01732261399784243,0.0,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
GET,/api/find-carparks?uuid=95344a78-da49-4515-af25-c1a63eea4fef&n=5,1,0,53264.73299999634,53264.73299999634,53264.73299999634,53264.73299999634,598.0,0.01732261399784243,0.0,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
GET,/api/find-carparks?uuid=a0f89ad0-68b6-4300-93ab-baa8c429be96&n=4,1,0,57717.98619999754,57717.98619999754,57717.98619999754,57717.98619999754,509.0,0.01732261399784243,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
,Aggregated,3,0,56000,55557.60279999716,53264.73299999634,57717.98619999754,537.6666666666666,0.05196784199352729,0.0,56000,56000,58000,58000,58000,58000,58000,58000,58000,58000,58000
