Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=03a8c0cc-55b5-402d-a259-82c21ca19065&n=2,1,0,29264.506999999867,29264.506999999867,29264.506999999867,29264.506999999867,323.0,0.01731156001255422,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/find-carparks?uuid=0cf0f74c-032e-424e-8a8f-a84b57ee4018&n=5,1,0,26231.168199999956,26231.168199999956,26231.168199999956,26231.168199999956,599.0,0.01731156001255422,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/find-carparks?uuid=1601404c-eab9-457d-a087-34604d2e2ae8&n=1,1,0,22539.862799996627,22539.862799996627,22539.862799996627,22539.862799996627,232.0,0.01731156001255422,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/find-carparks?uuid=1ac2f4f0-d278-40f2-8eb4-c31d1f5af1a9&n=4,1,0,25891.697200000635,25891.697200000635,25891.697200000635,25891.697200000635,508.0,0.01731156001255422,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/find-carparks?uuid=28410966-6d36-4d04-afe8-bac4d35e0171&n=1,1,0,26612.488999999186,26612.488999999186,26612.488999999186,26612.488999999186,232.0,0.01731156001255422,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/find-carparks?uuid=3e6f9880-b833-434e-8536-2e9e0db95b89&n=1,1,0,26543.01519999717,26543.01519999717,26543.01519999717,26543.01519999717,233.0,0.01731156001255422,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/find-carparks?uuid=489f4aaa-a291-4e1c-b169-7453eda50985&n=5,1,0,28824.73829999799,28824.73829999799,28824.73829999799,28824.73829999799,599.0,0.01731156001255422,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/find-carparks?uuid=51d72863-f3a1-4477-a29d-b8632fe60ad1&n=4,1,0,27920.782100001816,27920.782100001816,27920.782100001816,27920.782100001816,507.0,0.01731156001255422,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/find-carparks?uuid=5663c2fa-54c3-4d9e-8a52-12722f8089ac&n=1,1,0,24056.870000000345,24056.870000000345,24056.870000000345,24056.870000000345,233.0,0.01731156001255422,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/find-carparks?uuid=63a5a003-2991-4b73-af92-252e05f4e878&n=4,1,0,28995.769199995266,28995.769199995266,28995.769199995266,28995.769199995266,507.0,0.01731156001255422,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/find-carparks?uuid=685931de-e71e-43e2-8a31-164813aa05d0&n=3,1,0,36023.05669999623,36023.05669999623,36023.05669999623,36023.05669999623,414.0,0.01731156001255422,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
